8 threads:
4096 blocks per slice
i 00001 v 0000000000000004
i 00002 v 0000000000000008
i 00003 v 0000000000000010
i 00004 v 000000000000001f
i 00005 v 0000000000000020
i 00006 v 0000000000000040
i 00007 v 0000000000000067
i 00008 v 0000000000000080
i 00009 v 00000000000000ab
i 00010 v 00000000000000d5
i 00011 v 0000000000000100
i 00012 v 000000000000012d
i 00013 v 0000000000000156
i 00014 v 00000000000001b7
i 00015 v 00000000000001db
i 00016 v 00000000000001ee
i 00017 v 0000000000000200
i 00018 v 000000000000022e
i 00019 v 0000000000000253
i 00020 v 000000000000038f
i 00021 v 0000000000000400
i 00022 v 0000000000000433
i 00023 v 000000000000045a
i 00024 v 00000000000004a5
i 00025 v 0000000000000507
i 00026 v 0000000000000646
i 00027 v 00000000000006bf
i 00028 v 00000000000007cc
i 00029 v 0000000000000800
i 00030 v 0000000000000836
i 00031 v 000000000000085c
i 00032 v 00000000000008b1
i 00033 v 0000000000000923
i 00034 v 0000000000000a6b
i 00035 v 0000000000000a83
i 00036 v 0000000000000ca8
i 00037 v 0000000000000e95
i 00038 v 0000000000001000
i 00039 v 0000000000001039
i 00040 v 000000000000104b
i 00041 v 0000000000001113
i 00042 v 0000000000001289
i 00043 v 0000000000001330
i 00044 v 0000000000001475
i 00045 v 00000000000015e1
i 00046 v 0000000000001672
i 00047 v 000000000000186e
i 00048 v 00000000000019a9
i 00049 v 0000000000001b37
i 00050 v 0000000000001bcb
i 00051 v 0000000000001d67
i 00052 v 0000000000002000
i 00053 v 000000000000203a
i 00054 v 000000000000204e
i 00055 v 000000000000209c
i 00056 v 00000000000022a7
i 00057 v 00000000000022d6
i 00058 v 00000000000022ea
i 00059 v 0000000000002322
i 00060 v 0000000000002521
i 00061 v 000000000000290f
i 00062 v 0000000000002cc9
i 00063 v 0000000000002d58
i 00064 v 0000000000002e37
i 00065 v 0000000000002fa9
i 00066 v 00000000000031c3
i 00067 v 00000000000035f7
i 00068 v 000000000000373a
i 00069 v 0000000000004000
i 00070 v 000000000000408e
i 00071 v 000000000000413e
i 00072 v 00000000000041cd
i 00073 v 0000000000004215
i 00074 v 00000000000042f7
i 00075 v 000000000000445d
i 00076 v 0000000000004535
i 00077 v 0000000000004749
i 00078 v 00000000000048c4
i 00079 v 0000000000004a39
i 00080 v 0000000000004e54
i 00081 v 00000000000051af
i 00082 v 0000000000005278
i 00083 v 0000000000005c04
i 00084 v 0000000000005cda
i 00085 v 0000000000005da0
i 00086 v 00000000000069d9
i 00087 v 0000000000006d6f
i 00088 v 0000000000007164
i 00089 v 00000000000074ea
i 00090 v 000000000000762b
i 00091 v 0000000000007984
i 00092 v 0000000000008000
i 00093 v 0000000000008093
i 00094 v 000000000000810b
i 00095 v 00000000000081c2
i 00096 v 0000000000008306
i 00097 v 00000000000083aa
i 00098 v 00000000000084fd
i 00099 v 000000000000885b
i 00100 v 0000000000008bc7
i 00101 v 0000000000008d32
i 00102 v 0000000000009105
i 00103 v 0000000000009448
i 00104 v 00000000000094ac
i 00105 v 0000000000009bb8
i 00106 v 0000000000009cd6
i 00107 v 000000000000a212
i 00108 v 000000000000a850
i 00109 v 000000000000b0d2
i 00110 v 000000000000b541
i 00111 v 000000000000bccf
i 00112 v 000000000000c8c9
i 00113 v 000000000000cdf0
i 00114 v 000000000000cfbf
i 00115 v 000000000000d131
